Timestamp,date.b,sex,area,migzar,level,num.lev,sum.hour,hascala,toar,mosad,veteq,cuors,techno,internet,tadirut.1,tadirut.2,hitmatz  ,error ,my.comp ,via,relief,Course,comfort,oraa,sipoor,techno,COVID-19,merahok
05/11/2020 22:07,1968,1,4,1,"8, 9, 10, 11",5,22,1,1,2,4,0,1,2,2,1,3,1,1,2,5,4,4,3,5,12,3,4
05/12/2020 01:32,1968,0,6,1,"9, 10, 11, 12",3,22,1,3,1,4,2,3,4,1,1,4,1,1,1,5,4,5,4,4,9,5,3
05/12/2020 09:26,1962,1,6,1,"1, 2, 3, 4, 5, 6",2,23,1,1,1,4,0,1,2,1,1,1,1,1,1,1,3,3,1,5,0,1,1
05/12/2020 09:51,1983,1,3,2,"1, 2, 3, 4, 5, 6",12,13,1,3,1,4,2,5,5,3,3,5,0,1,1,3,1,1,5,5,10,5,5
05/12/2020 10:00,1979,1,4,1,1,1,22,1,3,1,4,2,2,2,2,1,3,1,1,1,5,3,3,2,2,4,4,4
05/12/2020 12:09,1987,1,5,1,"4, 6",3,23,1,1,1,4,2,5,5,1,3,5,0,1,1,1,3,3,1,4,25,4,4
05/12/2020 12:49,1991,1,6,1,2,1,21,1,1,1,4,0,5,5,1,1,5,1,1,2,1,5,5,3,2,20,2,2
05/12/2020 13:54,1988,1,6,1,"1, 2, 3, 4, 5, 6",8,18,1,2,1,4,0,5,5,3,3,5,1,1,1,2,3,3,3,3,7,5,4
05/12/2020 14:02,1970,1,4,0,"1, 2, 3, 4, 5",7,30,1,1,1,4,2,4,4,1,1,5,1,1,1,5,5,4,3,5,4,5,5
05/12/2020 14:32,1991,1,6,1,"1, 2, 3, 4, 5, 6",13,25,1,2,1,4,2,4,4,3,1,4,1,1,1,4,4,5,5,4,34,5,4
05/12/2020 15:02,1983,0,6,1,6,1,14,1,3,1,4,2,4,4,3,3,4,1,1,1,5,5,4,4,4,9,5,4
5/13/2020 10:50:58,1961,1,6,1,"3, 4, 5, 6",1,21,1,2,1,4,0,4,3,3,3,3,0,1,1,4,4,5,5,4,8,4,3
5/13/2020 10:53:33,1979,1,6,1,"2, 3, 4, 5, 6",5,17,1,2,1,4,0,3,4,3,3,2,1,1,1,3,5,5,4,4,4,3,4
5/13/2020 10:58:26,1984,1,6,1,"5, 6",2,22,1,3,1,4,2,5,5,2,2,5,0,1,1,5,5,5,3,5,20,5,5
5/13/2020 13:58:33,1974,1,4,1,"3, 6",3,22,1,3,2,4,1,5,5,3,3,4,1,1,1,5,4,4,4,5,4,5,4
5/13/2020 14:59:13,1973,1,3,0,"1, 2, 3",4,23,1,3,1,4,2,4,3,1,1,4,1,1,1,4,3,3,2,4,9,5,3
5/13/2020 15:21:32,1984,1,6,1,"3, 4",1,13,1,2,1,4,0,2,2,3,3,4,0,1,1,1,4,2,4,4,5,4,1
5/13/2020 15:39:34,1970,1,3,1,"4, 5, 6",6,26,1,2,1,4,0,1,2,3,1,1,0,1,2,3,3,3,1,1,5,2,1
5/13/2020 16:47:08,1975,1,7,1,"3, 4, 6",6,20,1,3,2,4,2,5,5,2,2,5,1,1,1,5,5,5,5,5,20,5,5
5/13/2020 17:44:34,1984,1,2,2,"1, 3",2,23,1,3,1,4,2,3,2,2,2,2,0,1,1,5,3,3,3,3,18,4,2
5/13/2020 20:01:14,1962,1,4,0,"4, 5, 6",6,22,1,3,2,4,0,2,4,3,2,2,1,1,1,2,3,4,3,4,12,4,3
5/13/2020 20:18:37,1977,1,1,0,6,3,24,1,2,1,4,0,4,3,2,1,4,1,1,1,3,5,5,5,5,10,5,5
5/13/2020 20:29:20,1978,1,6,1,"1, 2",4,22,1,3,1,4,2,3,4,3,3,2,1,1,1,4,3,4,5,5,5,4,4
5/13/2020 20:30:36,1973,1,6,1,"1, 2, 3",1,12,1,3,2,4,2,3,4,2,2,3,1,1,1,5,4,3,4,4,12,5,5
5/13/2020 21:15:59,1966,1,1,1,"4, 5, 6",4,24,1,3,2,4,2,2,1,1,3,3,1,1,2,5,4,4,4,3,3,3,4
5/13/2020 21:54:26,1985,1,4,0,"3, 6",4,24,1,3,2,1,2,3,4,3,1,4,1,1,1,1,3,3,1,1,10,3,2
5/13/2020 21:55:21,1971,1,5,0,1,1,26,1,3,2,4,2,2,2,3,1,3,1,1,1,2,3,3,3,3,2,2,2
5/13/2020 21:56:30,1996,1,1,2,"1, 2, 3, 4, 5, 6, 7, 8",5,18,1,2,1,1,2,4,4,3,3,4,1,1,1,2,4,5,4,4,7,4,3
5/13/2020 22:00:50,1972,1,5,1,"1, 2, 3, 4",8,18,1,3,1,4,0,2,2,2,3,2,0,1,1,2,4,2,1,4,15,5,4
5/13/2020 22:12:22,1971,1,3,0,1,2,26,1,3,1,4,2,5,5,3,1,4,1,1,2,4,4,4,3,4,10,5,4
5/13/2020 22:13:09,1970,1,5,0,8,1,20,1,1,1,4,2,5,5,2,2,5,1,1,1,3,4,4,3,5,30,5,5
5/13/2020 22:13:16,1977,1,5,0,"2, 4, 6",4,32,1,3,1,4,2,5,4,3,1,4,1,1,1,5,5,5,5,5,15,3,4
5/13/2020 22:15:18,1991,1,4,0,"5, 6",2,21,1,2,2,4,1,4,4,2,1,5,1,1,2,1,5,5,4,5,15,4,4
5/13/2020 22:16:20,1963,1,5,0,"3, 4, 5",5,23,1,3,1,4,2,3,2,2,1,3,1,1,1,4,3,4,3,4,0,3,3
5/13/2020 22:22:59,1996,1,4,1,"7, 10, 11",3,17,1,1,1,0,2,4,4,2,1,5,1,1,1,3,4,5,5,5,4,3,3
5/13/2020 22:23:20,1988,0,7,2,2,2,25,1,2,1,4,2,2,2,3,3,2,0,1,1,3,2,2,2,2,10,3,2
5/13/2020 22:35:50,1988,1,4,0,1,1,22,1,2,1,4,2,5,5,1,1,5,1,1,1,3,5,5,5,5,6,5,5
5/13/2020 22:43:48,1964,0,4,1,"11, 12",3,20,1,3,2,4,0,3,3,1,2,4,1,1,1,4,4,4,4,5,6,5,4
5/13/2020 23:14:28,1963,1,4,1,"7, 8, 9",8,20,1,3,2,4,0,4,4,2,1,4,1,1,1,2,3,4,4,4,8,5,4
5/13/2020 23:24:29,1981,1,6,1,"4, 5, 6, 7, 8",7,16,1,1,1,4,0,4,4,3,2,3,0,1,1,3,3,3,3,3,6,5,3
5/14/2020 0:38:32,1973,1,3,1,1,2,23,1,2,1,4,2,4,4,3,1,4,1,1,1,4,5,4,4,4,0,5,4
5/14/2020 9:05:56,1978,1,1,0,"5, 6",1,24,1,1,2,4,1,3,5,1,1,3,0,0,2,5,1,3,5,5,5,5,5
5/14/2020 9:30:21,1964,1,7,1,"5, 6, 7, 8",4,24,1,3,1,4,2,2,4,3,3,4,0,1,1,3,3,1,3,4,12,4,3
5/14/2020 9:32:43,1974,1,4,1,"3, 4",2,21,1,3,1,4,2,5,5,2,2,5,1,1,1,5,5,5,5,5,12,5,5
5/14/2020 10:10:24,1951,1,7,1,"10, 11, 12",3,19,1,3,2,4,2,3,4,2,1,3,1,1,2,4,4,3,2,4,5,4,3
5/14/2020 10:21:29,1964,1,6,0,"5, 6",2,16,1,3,2,4,0,3,4,2,1,4,1,1,1,5,4,5,5,5,12,5,5
5/14/2020 10:27:34,1975,0,6,0,"1, 2, 3, 4, 5, 6",12,30,1,2,1,4,2,4,4,2,2,4,1,1,2,5,5,5,5,5,6,5,5
5/14/2020 10:36:55,1998,1,6,0,"1, 2",4,10,1,2,1,0,2,2,2,2,3,3,0,1,1,4,3,3,3,4,24,4,5
5/14/2020 10:49:16,1972,1,6,0,"3, 5, 6",3,24,1,2,2,4,2,5,5,2,1,5,0,1,1,5,4,4,3,4,7,4,4
5/14/2020 10:49:27,1970,1,6,0,"2, 4, 5",4,25,1,3,2,4,0,2,3,3,1,4,1,1,1,2,3,3,3,3,20,4,3
5/14/2020 10:54:23,1978,1,6,0,"3, 6",3,14,1,2,1,4,2,5,5,2,1,5,1,1,2,1,5,5,5,5,20,5,3
5/14/2020 11:00:06,1969,1,6,0,"1, 2, 3, 4, 5, 6",13,24,1,3,1,4,2,3,3,3,1,4,1,1,2,4,4,4,4,4,5,5,5
5/14/2020 11:04:52,1988,1,6,0,1,1,25,1,2,1,4,1,3,4,1,1,4,1,1,2,4,5,3,3,4,15,4,5
5/14/2020 11:06:54,1964,1,6,0,"4, 5, 6",3,24,1,2,2,4,0,3,2,3,2,3,1,1,1,5,4,5,4,5,20,4,4
5/14/2020 11:11:21,1964,1,5,0,"10, 11",3,20,1,3,2,4,2,5,5,1,1,5,0,1,2,1,5,4,5,3,0,3,3
5/14/2020 11:16:27,1975,1,6,0,1,1,25,1,1,1,4,1,3,3,2,1,3,1,1,1,5,4,5,4,5,5,4,4
5/14/2020 11:17:39,1981,1,6,0,"1, 2, 3, 6",9,25,1,1,1,4,2,5,5,1,1,5,1,1,1,5,5,5,5,5,8,3,4
5/14/2020 11:19:40,1978,1,6,0,5,3,24,1,1,2,4,2,4,5,3,1,4,1,1,1,4,4,4,4,3,4,4,4
5/14/2020 11:22:13,1990,1,6,0,"1, 2",3,25,1,1,1,4,2,5,5,1,1,5,0,1,2,3,4,4,3,5,25,5,4
5/14/2020 11:30:56,1985,1,6,0,"1, 4, 5",3,25,1,3,1,4,2,5,4,2,1,3,0,1,2,5,3,4,4,5,35,3,4
5/14/2020 11:32:12,1989,1,6,0,"1, 2, 3, 4, 5, 6",8,25,1,1,1,4,2,4,4,3,3,4,1,1,1,3,3,4,2,5,6,2,4
5/14/2020 11:41:16,1968,1,6,0,5,4,19,1,2,1,4,2,1,2,3,3,2,1,1,1,4,4,3,2,4,0,3,3
5/14/2020 11:48:37,1959,1,6,0,1,2,23,1,2,1,4,1,3,3,1,2,3,1,1,1,2,3,3,3,3,0,2,3
5/14/2020 14:36:01,1974,1,6,0,"4, 5, 6",2,21,1,1,1,4,2,4,4,3,1,4,0,1,2,2,5,5,1,5,6,5,5
5/14/2020 15:20:47,1968,1,6,0,"4, 5",,20,1,3,2,4,2,5,5,2,1,5,1,1,1,3,5,5,5,5,10,5,5
5/14/2020 15:26:51,1990,1,6,0,"1, 2",3,25,1,1,1,4,2,5,5,1,1,5,0,1,2,3,4,4,3,5,25,5,4
5/14/2020 15:41:27,1954,0,6,0,"10, 11, 12",5,20,1,1,1,4,2,5,5,1,1,5,1,1,1,5,4,4,5,5,4,5,5
5/14/2020 16:01:03,1963,1,2,1,"1, 3, 4, 5, 6",5,23,1,3,1,4,2,3,3,1,2,4,1,1,1,5,4,5,5,5,12,5,5
5/14/2020 16:48:51,1973,1,1,0,"1, 2",1,23,1,3,1,4,2,3,3,3,1,3,1,1,1,4,4,4,3,5,13,4,3
5/14/2020 17:39:09,1970,1,6,0,"2, 3, 4",7,21,1,2,1,0,2,2,2,2,1,3,1,1,1,5,4,4,4,4,8,4,4
5/14/2020 20:20:11,1973,1,6,1,"1, 2, 3, 4",4,17,1,2,1,4,1,4,3,3,1,3,0,1,2,4,3,3,4,5,8,4,3
5/14/2020 23:02:12,1954,0,4,0,9,3,6,1,3,1,4,0,3,3,3,1,3,1,0,1,4,4,4,4,4,6,4,3
5/15/2020 6:46:33,1980,1,1,0,3,3,22,1,1,2,4,2,2,4,1,1,5,0,1,1,4,4,3,1,4,0,5,4
5/15/2020 6:58:55,1964,1,2,0,"3, 4, 5, 6, 7",10,22,1,3,2,4,2,2,3,3,3,2,0,1,1,5,3,2,2,5,12,3,2
5/15/2020 7:30:44,1987,1,2,1,"9, 11, 12",3,20,1,2,1,4,2,5,5,1,1,5,1,1,1,2,5,5,4,5,0,5,5
5/15/2020 7:31:26,1978,0,7,1,"2, 3, 4, 5, 6",9,18,1,3,2,4,2,5,5,3,3,5,1,1,1,5,3,4,4,4,2,5,5
5/15/2020 7:34:44,1969,1,3,1,2,1,22,1,3,1,4,2,4,4,3,3,3,0,1,1,5,3,3,4,5,24,4,4
5/15/2020 7:36:52,1980,1,3,0,"3, 4",4,10,1,3,2,0,2,3,4,3,3,4,0,1,1,5,3,5,5,5,2,5,5
5/15/2020 8:06:10,1962,0,3,0,"1, 2, 3, 4",8,24,1,3,2,4,2,5,5,,1,5,1,1,1,3,5,3,3,3,2,3,1
5/15/2020 11:53:39,1975,1,3,1,"1, 2, 3",3,25,1,1,1,4,2,4,5,1,1,5,0,1,1,3,2,2,1,3,8,1,1
5/15/2020 23:21:12,1962,1,4,0,"1, 2, 3, 4, 5, 6",8,15,1,1,1,4,2,4,4,3,3,5,1,1,2,5,5,5,5,5,5,4,5
5/18/2020 12:18:36,1985,1,1,0,2,1,25,1,2,1,4,1,2,2,3,2,3,1,1,2,4,3,3,2,4,3,4,4
5/20/2020 19:15:30,1996,1,3,0,"3, 4, 6",5,13,1,2,1,1,2,5,5,2,2,4,0,1,1,5,3,5,5,5,20,5,5
5/20/2020 19:27:23,1990,0,6,0,8,3,24,1,2,2,0,0,5,5,2,1,5,1,1,1,1,5,5,5,5,24,5,5
5/20/2020 19:51:00,1994,1,7,1,7,3,12,1,1,2,0,0,4,4,3,2,4,0,1,2,5,4,4,3,4,5,4,4
5/20/2020 20:00:01,1968,1,4,0,"10, 11, 12",3,16,1,3,2,4,2,3,3,2,2,3,0,1,1,3,3,2,3,4,12,4,3
5/20/2020 20:23:54,1967,1,4,0,"10, 11, 12",5,28,1,1,1,4,2,3,2,1,1,3,0,1,2,5,4,3,3,4,18,5,5
5/20/2020 20:34:57,1974,1,4,0,"7, 8, 9",3,23,1,2,1,1,1,3,3,2,1,4,1,1,2,3,3,3,4,4,10,4,4
5/20/2020 20:37:02,1990,0,6,1,5,1,8,1,2,1,1,0,5,5,3,3,5,1,1,1,5,1,3,3,5,8,1,1
5/20/2020 21:08:19,1979,0,2,1,"9, 11, 12",6,26,1,3,1,4,2,5,5,1,1,5,0,1,1,5,5,5,5,5,16,5,5
5/20/2020 22:37:34,1976,1,6,1,"7, 8, 9, 10, 11, 12",4,22,1,3,1,4,2,4,4,1,1,3,1,1,1,4,4,3,4,3,15,5,4
5/20/2020 22:53:57,1974,1,3,0,"10, 11, 12",2,15,1,3,1,4,2,5,3,1,1,5,1,1,2,5,5,5,5,5,10,5,5
5/20/2020 23:27:52,1972,1,4,0,"7, 8, 9",4,20,1,1,2,4,2,5,5,1,1,5,0,1,1,1,5,5,5,5,24,4,5
5/21/2020 10:17:32,1966,1,7,1,3,2,23,1,3,2,4,0,2,3,3,3,3,0,1,1,5,3,3,2,5,5,3,3
